issue_id,channel,week_start_utc,observed_days,newly_listed_events,volume_observed_contracts,last_observed_day,oi_at_last_observed_day,interpretation
healthcare,mention,2026-08-10,7,6,69896.42,2026-08-16,409.53,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,mention,2026-08-17,7,8,85551.92,2026-08-23,942.83,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,mention,2026-08-24,7,8,30230.7,2026-08-30,819.63,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,mention,2026-08-31,3,3,15434.46,2026-09-03,5603.44,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,policy,2026-07-06,5,0,309.0,2026-07-12,2023.3400000000001,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,policy,2026-07-13,7,1,8240.689999999999,2026-07-19,44744.71,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,policy,2026-07-20,7,2,2497.17,2026-07-26,46255.94,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,policy,2026-07-27,7,0,1023.69,2026-08-02,2667.52,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,policy,2026-08-03,7,0,1307.22,2026-08-09,47126.86,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,policy,2026-08-10,7,0,4011.1499999999996,2026-08-16,46689.020000000004,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,policy,2026-08-17,7,0,429.42,2026-08-23,47841.37,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,policy,2026-08-24,7,0,186.73,2026-08-30,49504.68,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,policy,2026-08-31,7,1,2002.8400000000001,2026-09-06,49040.97,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,policy,2026-09-07,1,0,60.76,2026-09-07,49913.56,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,macro,2026-07-06,5,1,3859.94,2026-07-12,15483.63,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,macro,2026-07-13,7,1,15838.11,2026-07-19,17981.74,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,macro,2026-07-20,7,1,15951.23,2026-07-26,15545.07,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,macro,2026-07-27,7,0,4276.16,2026-08-02,11374.87,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,macro,2026-08-03,7,0,2911.58,2026-08-09,18676.34,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,macro,2026-08-10,7,2,21911.47,2026-08-16,12382.81,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,macro,2026-08-17,7,0,6171.63,2026-08-23,12143.28,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,macro,2026-08-24,7,3,6363.88,2026-08-30,24832.81,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,macro,2026-08-31,7,1,8351.47,2026-09-06,28367.670000000002,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,macro,2026-09-07,1,0,45.37,2026-09-07,17899.79,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,mention,2026-07-13,3,2,6651.879999999999,2026-07-16,2746.78,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,mention,2026-07-20,3,2,130.16,2026-07-26,120.16,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,mention,2026-07-27,7,0,394.0,2026-08-02,0.0,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,mention,2026-08-03,7,0,962.51,2026-08-09,1304.67,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,mention,2026-08-10,7,0,1575.0900000000001,2026-08-16,2800.16,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,mention,2026-08-17,7,0,3022.3,2026-08-23,1077.9,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,mention,2026-08-24,3,0,9364.03,2026-08-26,6659.34,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,policy,2026-07-06,5,0,140804.28,2026-07-12,199359.93,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,policy,2026-07-13,7,0,10288.83,2026-07-19,27251.4,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,policy,2026-07-20,7,0,10063.48,2026-07-26,37379.490000000005,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,policy,2026-07-27,7,2,6792.5,2026-08-02,36288.86,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,policy,2026-08-03,7,2,3571.36,2026-08-09,47782.99,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,policy,2026-08-10,7,0,2801.84,2026-08-16,39903.03,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,policy,2026-08-17,7,0,5051.610000000001,2026-08-23,41355.53,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,policy,2026-08-24,7,0,1315.31,2026-08-30,42262.23,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,policy,2026-08-31,7,0,21386.47,2026-09-06,54212.49,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
housing,policy,2026-09-07,1,0,1812.36,2026-09-07,56852.73,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
immigration,mention,2026-07-06,3,2,2086.15,2026-07-12,2013.7,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
immigration,mention,2026-07-13,7,7,187229.81,2026-07-19,0.0,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
immigration,mention,2026-07-20,7,6,149532.81,2026-07-26,4925.610000000001,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
immigration,mention,2026-07-27,7,9,64603.8,2026-08-02,714.32,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
immigration,mention,2026-08-03,7,7,147874.32,2026-08-09,36200.54,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
immigration,mention,2026-08-10,7,5,272181.18,2026-08-16,552.7,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
immigration,mention,2026-08-17,7,6,85894.95,2026-08-23,1357.08,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
