issue_id,channel,series_ticker,event_ticker,event_creation_day,observed_contract_days,coverage_fraction,volume_per_observed_contract_day,total_volume,issue_label
trade_tariffs,mention,KXEARNINGSMENTIONVZ,KXEARNINGSMENTIONVZ-26JUL24,2026-07-16T00:00:00Z,2,1.0,2.5,5.0,Trade and tariffs
affordability_inflation,mention,KXEARNINGSMENTIONWEN,KXEARNINGSMENTIONWEN-26AUG07,2026-07-23T00:00:00Z,2,1.0,289.72,579.44,Affordability and inflation
trade_tariffs,mention,KXEARNINGSMENTIONWEN,KXEARNINGSMENTIONWEN-26AUG07,2026-07-23T00:00:00Z,2,1.0,301.0,602.0,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONWING,KXEARNINGSMENTIONWING-26JUL29,2026-07-20T00:00:00Z,2,1.0,360.5,721.0,"AI, jobs and regulation"
energy_iran,mention,KXEARNINGSMENTIONWING,KXEARNINGSMENTIONWING-26JUL29,2026-07-20T00:00:00Z,2,1.0,287.15,574.3,Energy and Iran
ai_jobs_regulation,mention,KXEARNINGSMENTIONWMT,KXEARNINGSMENTIONWMT-26AUG20,2026-07-23T00:00:00Z,2,1.0,289.805,579.61,"AI, jobs and regulation"
energy_iran,mention,KXEARNINGSMENTIONWMT,KXEARNINGSMENTIONWMT-26AUG20,2026-07-23T00:00:00Z,2,1.0,10.0,20.0,Energy and Iran
trade_tariffs,mention,KXEARNINGSMENTIONWMT,KXEARNINGSMENTIONWMT-26AUG20,2026-07-23T00:00:00Z,2,1.0,308.5,617.0,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONYETI,KXEARNINGSMENTIONYETI-26AUG13,2026-08-11T00:00:00Z,2,1.0,1277.365,2554.73,"AI, jobs and regulation"
energy_iran,mention,KXEARNINGSMENTIONYETI,KXEARNINGSMENTIONYETI-26AUG13,2026-08-11T00:00:00Z,2,1.0,299.325,598.65,Energy and Iran
healthcare,mention,KXEARNINGSMENTIONYOU,KXEARNINGSMENTIONYOU-26AUG05,2026-07-23T00:00:00Z,2,1.0,531.5,1063.0,Health care
taxes_fiscal,mention,KXEARNINGSMENTIONYOU,KXEARNINGSMENTIONYOU-26AUG05,2026-07-23T00:00:00Z,2,1.0,2.5,5.0,Taxes and fiscal policy
ai_jobs_regulation,mention,KXEARNINGSMENTIONYUM,KXEARNINGSMENTIONYUM-26JUL30,2026-07-20T00:00:00Z,2,1.0,1154.6,2309.2,"AI, jobs and regulation"
ai_jobs_regulation,mention,KXEARNINGSMENTIONZETA,KXEARNINGSMENTIONZETA-26AUG04,2026-07-23T00:00:00Z,4,1.0,178.755,715.02,"AI, jobs and regulation"
ai_jobs_regulation,mention,KXEARNINGSMENTIONZM,KXEARNINGSMENTIONZM-26AUG25,2026-08-19T00:00:00Z,2,1.0,300.6,601.2,"AI, jobs and regulation"
ai_jobs_regulation,mention,KXEARNINGSMENTIONZS,KXEARNINGSMENTIONZS-26SEP03,2026-08-26T00:00:00Z,2,1.0,73.74,147.48,"AI, jobs and regulation"
trade_tariffs,policy,KXEFFTARIFF,KXEFFTARIFF-26OCT29,2026-07-28T00:00:00Z,22,1.0,37.29590909090909,820.51,Trade and tariffs
housing,macro,KXEHSALES,KXEHSALES-26AUG11,2026-07-09T00:00:00Z,16,1.0,31.110625,497.77,Housing
housing,macro,KXEHSALES,KXEHSALES-26SEP10,2026-08-11T00:00:00Z,16,1.0,334.56437500000004,5353.030000000001,Housing
housing,macro,KXEXUSHOME,KXEXUSHOME-26AUG11,2026-07-15T00:00:00Z,18,1.0,409.22222222222223,7366.0,Housing
housing,macro,KXEXUSHOME,KXEXUSHOME-26SEP10,2026-08-11T00:00:00Z,18,1.0,480.72277777777776,8653.01,Housing
fed_rates,macro,KXFEDCOMBO,KXFEDCOMBO-26SEPB,2026-07-29T00:00:00Z,12,1.0,826.6675,9920.01,Fed and interest rates
fed_rates,macro,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,2026-07-29T00:00:00Z,42,1.0,64.31785714285715,2701.3500000000004,Fed and interest rates
